Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
Mariyappa palya,Binnypet,Pvt. ,Identified,,,,Core,,Undeclared,2.10,233,620,400,220,120,200,300
Valmikinagar,Binnypet,BCC,Identified,,,,Core,,Undeclared,1.00,450,2250,1200,1050,0,0,2250
J.J.Nagar,Binnypet,BCC,Identified,,,,Core,,Undeclared,0,2274,20000,12500,7500,0,0,20000
"Sweepers Colony, J.J.Nagar(South)",Binnypet,BCC,Identified,,,,Core,,Undeclared,0,340,1700,900,800,0,0,1700
H.B.J.Slum,Binnypet,BCC,Identified,,,,Core,,Undeclared,0,1250,8140,5140,3000,0,0,8140
Venkataswamy Garden,Binnypet,BCC,Identified,,,,Core,,Undeclared,0,1753,16000,9450,6550,0,0,16000
Sanjaynagar,Binnypet,BCC,Identified,,,,Core,,Undeclared,0,470,2350,1225,1125,0,0,2350
Handijogar Colony,Binnypet,Pvt. ,Identified,,,,Core,,Undeclared,0.10,40,350,175,175,0,0,350
,,,,,,,,,,,,,,,,,
Jolimohalla,Chamrajpet,BCC,KSA/CR-17/2008-09,06-01-2010,,,Core,,Declared,0.3.5,48,250,,,,,250
New Taragupete,Chamrajpet,BBMP,KSA/CR-224/2010-11,14-12-2011,,,Core,,Declared,0.02,28,140,,,,,140
Papamma Garden,Chamrajpet,Pvt. ,HUD/181/MCS/81,02-02-1982,,,Core,,Declared,0.09,102,560,277,283,16,0,544
Vinobha Garden II Phase,Chamrajpet,BCC,xxx,1/1/99,,,Core,,Declared,0.20,268,1481,785,696,1126,0,355
Vinobhanagar,Chamrajpet,BCC,HUD/257/MCS/78,4/10/79,,,Core,,Declared,0.12,452,3018,1600,1418,0,0,3018
Fireworks Colony,Chamrajpet,Pvt. ,xxx,1/1/99,,,Core,,Declared,2.02,40,200,100,100,50,50,100
Khader Sheriff Garden II Phase,Chamrajpet,Pvt. ,KSA/CR/12/87-88,08-09-2002,,,Core,,Declared,1.04,250,1000,550,450,250,250,500
Ramanna Garden ,Chamrajpet,Pvt.,,,,,Core,,Declared,3.03,303,1500,1000,500,1400,50,50
Appajiyappa Garden ,Chamrajpet,Pvt.,,,,,Core,,Declared,0.1,113,600,375,225,500,0,100
Cement Huts,Chamrajpet,Pvt. ,KSA/CR/5/88-89,7/3/89,,,Core,,Declared,2.26,111,555,350,205,300,150,105
Narayanswamy Garden,Chamrajpet,Pvt. ,KSA/CR/26/88-89,18-07-1979,,,Core,,Declared,0.28,196,1000,600,400,700,150,150
D'souza Garden,Chamrajpet,Pvt. ,KSA/CR/28/87-88,21-03-1989,,,Core,,Declared,0.30,118,700,400,300,200,100,400
Munipapamma Garden,Chamrajpet,Pvt. ,Shifted,1/1/99,,,Core,,Declared,0.35,107,335,300,35,330,0,5
Nagarajappa Garden,Chamrajpet,Pvt. ,xxx,1/1/99,,,Core,,Declared,1.05,92,460,260,200,300,100,60
Ramakka Garden,Chamrajpet,Pvt. ,xxx,1/1/99,,,Core,,Declared,1.05,54,250,150,100,150,50,50
Rajagopal Garden I Phase,Chamrajpet,Pvt. ,KSA/CR/2/87-88,1/3/88,,,Core,,Declared,0.17,231,1100,600,500,1000,50,50
Shambupalya,Chamrajpet,Pvt. ,KSA/CR/46/87-88,13-10-1988,,,Core,,Declared,1.04,180,900,500,400,400,20,480
Vyayamashala,Chamrajpet,Pvt. ,HUD/352/MCS/77,24-12-1977,,,Core,,Declared,1.29,254,1270,670,600,1000,50,220
Rangappa Garden,Chamrajpet,Pvt. ,Tobe declared,5/29/90,,,Core,,Declared,0.28,10,60,30,30,20,20,20
Kunteseenappa Garden,Chamrajpet,Pvt. ,HD/74/KSCB/2001,17-10-2001,,,Core,,Declared,0.05,32,160,100,60,50,70,40
Venkataraman Huts,Chamrajpet,Pvt. ,HUD/301/MCS/79,12/20/2/80,,,Core,,Declared,2.10,410,2050,1100,950,850,150,1050
Khader Sheriff Garden I Phase,Chamrajpet,Pvt. ,HMA/83/MCS/77,30-12-1977,,,Core,,Declared,2.20,895,5000,2600,2400,2000,250,2750
