Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
Krishnappa Garden,Bharatinagar,Pvt.,HUD/225/MCS/78,30-12-1978,,,,,Declared,0.18,112,630,363,267,134,90,406
Chettappa Garden,Bharatinagar,Pvt.,KSCB/CR24/84-85,18-10-1984,,,,,Declared,0.25,90,535,373,162,140,93,302
Kondappa Achappa Garden,Bharatinagar,Pvt.,HUD/309/mcs/77,23-09-1985,,,,,Declared,0.11,46,310,211,99,56,64,190
Bharathinagar,Bharatinagar,Pvt.,KSA/CR-5/96-97,6/8/97,,,,,Declared,0.03,55,320,203,117,117,116,87
Someswar Slum,Bharatinagar,Pvt.,,,,,,,Declared,0.32,46,275,175,100,108,67,100
New Binni Mangala Slum,Bharatinagar,Pvt.,,,,,,,Declared,1,215,1290,850,440,600,200,490
Nanjundappa Garden,Bharatinagar,Pvt.,xxx,1/1/85,,,,,Declared,0.06,35,198,112,86,84,56,58
Anjanappa Garden,Bharatinagar,Pvt.,xxx,1/1/80,,,,,Declared,1.00,85,630,334,296,185,296,149
Muninarayanappa Garden,Bharatinagar,Pvt.,HUD/171/MCS/82,16-07-1983,,,,,Declared,0.19,54,380,270,110,145,98,137
G.Muniyappa Garden,Bharatinagar,Pvt.,HMA/163/mcs/75,28-08-1975,,,,,Declared,0-12,270,1450,860,590,376,430,644
Behind Lakshmi Talkies,Bharatinagar,Pvt.,Hud/214/mcs/79,21-08-1979,,,,,Declared,0.28,89,600,300,300,354,153,93
Ambedkar Seva Sangh,Bharatinagar,Pvt.,Identified,,,,,,Undeclared,1.00,80,475,238,237,120,116,239
Ambedkar Huts,Bharatinagar,Pvt.,Identified,,,,,,Undeclared,1.00,105,600,343,257,143,229,228
Machalibetta,Bharatinagar,BCC,Identified,,,,,,Undeclared,2.10,200,897,538,359,358,0,539
"Sweepers Colony, old Madras Road",Bharatinagar,BCC,Identified,,,,,,Undeclared,0.30,400,1420,743,677,625,118,677
Munivenkatappa Garden,Bharatinagar,BCC,Identified,,,,,,Undeclared,1.00,408,1950,998,952,0,0,1950
Lakshmipura,Bharatinagar,BCC,Identified,,,,,,Undeclared,0.30,200,1150,603,547,0,0,1150
,,,,,,,,,,,,,,,,,
"Thungabadra Slum, Near Dandu Railway",Shivajinagar,BDA/ BBMP,KSA?CR/43/2000-01,30/12/2008,,,,,Declared,0.07,24,108,58,50,,,108
C.S.I.Compound,Shivajinagar,BBMP,,20-06-2009,,,,,Declared,0.04.5,72,360,,,,,360
Near Pallavi Talkies,Shivajinagar,Pvt.,HUD/247/mcs/85,14-10-1985,,,,,Declared,0.11,60,350,200,150,0,0,350
"Millars Tank, Queens Road",Shivajinagar,BCC,Identified,,,,,,Undeclared,1.00,100,500,250,250,200,200,100
Nala Road,Shivajinagar,BCC,Identified,,,,,,Undeclared,1.10,20,131,66,65,130,0,1
Kempegowda Welfare Assosiation,Shivajinagar,BCC,Identified,,,,,,Undeclared,0.40,60,500,320,180,340,80,80
Sultan Gunta,Shivajinagar,BCC,Identified,,,,,,Undeclared,0.40,80,400,200,200,150,100,150
"Sweepers Collony, Queens Road",Shivajinagar,BCC,Identified,,,,,,Undeclared,2.10,173,1095,549,546,973,0,118
,,,,,,,,,,,,,,,,,
Swagath Talkies,Jayanagar,BDA,KSA/CR/75/2002-03,03-09-2002,,,,,Declared,0.21,152,754,454,300,0,0,754
SDS Sanitorium ,Jayanagar,Pvt,,,,,,,Declared,0.8,75,410,210,200,0,0,410
"Ayyappa Garden, Adugodi",Jayanagar,Pvt.,KSA/CR/7/2008-09,10-07-2008,,,,,Declared,0.15,30,297,157,140,,,297
"Sy.No.20,Mico Factory",Jayanagar,Pvt.,HMA/268/MCS/77,20-08-1977,,,,,Declared,0.19,463,2270,1100,1170,1901,20,349
Puttaiahnapalya,Jayanagar,Pvt.,,6/10/79,,,,,Declared,0.36,92,490,254,236,33,4,453
Jaibuvaneshari Nagara (Near Old PH),Jayanagar,Govt,KSA/CR/4/2002-03,05-07-2004,,,,,Declared,2.35,266,1152,752,400,0,0,1152
"Sy.No.66,Adugodi",Jayanagar,Govt./ St.J,KSA/CR-22/84-85,19-08-1985,,,,,Declared,1.20,697,3715,1854,1861,1265,84,2366
Hombegowdanagar,Jayanagar,Pvt.,KSA/CR-25/88-89,27-03-1987,,,,,Declared,0.36,518,2500,1250,1250,1675,474,351
Behind Vijaya College(shifted),Jayanagar,Pvt.,Shifted,1/1/90,,,,,Declared,0.17,268,1206,616,590,831,64,311
"Sy.No.77,Adugodi",Jayanagar,Govt.,HUD/273/MCS/79,27/2/2/3/81,,,,,Declared,4.00,475,2225,1100,1125,1000,225,1000
Someswar,Jayanagar,Pvt.,xxx,1/1/95,,,,,Declared,3.00,637,3185,2000,1185,1000,1000,1185
D.K.Naykarnagar Slum,Jayanagar,BCC,KSA/CR28/90-91,01-06-1992,,,,,Declared,0.10,36,180,100,80,0,0,180
"Nakalubande,9/2 Bairsandra",Jayanagar,Pvt./ BDA,KSA/CR/15/94-95,27-01-1999,,,,,Declared,3.00,360,2040,1064,976,0,0,2040
Kalappa Thota,Jayanagar,Pvt.,HMA/6/MCS/77,19-01-1977,,,,,Declared,0.05,16,104,60,44,0,0,104
Ambedkar Brindavan Garden,Jayanagar,Govt./ PVt,ksa/Cr19/98-99,18-05-2001,,,,,Declared,1.03,0,0,0,0,0,0,0
"Slum in the site of Physcally Handicafe Building, Koramangal",Jayanagar,Society,KSA/CR-45/1991,08-01-1991,,,,,Declared,750x100ft,148,694,350,344,0,0,694
"Sy.No.5, Tavarekere",Jayanagar,Govt.,HUD/162/MCS/86,01-08-1986,,,,,Declared,3.28,173,650,390,260,140,45,465
"Sy.No.7, Tavarekere",Jayanagar,Govt.,HUD/36/MCS/86,01-08-1986,,,,,Declared,1.23,128,1115,669,446,610,60,445
"Dayananda,Lalbagh",Jayanagar,Govt.,HUD/42/MCS/82,23-12-1982,,,,,Declared,15.37,2000,15100,9060,6040,4681,755,9664
"Kwaripit,Near Mico Factory",Jayanagar,Pvt.,KSA/Cr-46/1991,30-06-1997,,,,,Declared,0.22,108,510,241,269,381,109,20
Gulbarga Huts,Jayanagar,NIMANHS,KSA/CR-32/88-89,18-03-1989,,,,,Declared,1.14,263,1519,773,746,1234,247,38
"Sy.No.8,Thayappanahalli",Jayanagar,Pvt.,KSA/CR-35/,02-03-1989,,,,,Declared,0.10,30,150,80,70,76,19,55
Shastrinagar,Jayanagar,Pvt.,HUD/165/MCS/79,05-09-1989,,,,,Declared,0.33,200,1525,915,610,1220,35,270
Shankarappa Garden,Jayanagar,Pvt.,HD/6/KSCB/97,24-02-1999,,,,,Declared,0.21,50,250,150,100,0,0,250
"Sy.No.13,Arekempanahalli(shifted)",Jayanagar,Pvt.,De- notified,1/1/85,,,,,Declared,0.29,147,682,339,343,459,59,164
"Sy.No.81,Near Bajaj Estate",Jayanagar,Pvt.,Identified,,,,,,Undeclared,2.04,116,627,311,316,621,6,0
Near Hanumanthanagar Layout,Jayanagar,BDA,Identified,,,,,,Undeclared,3.25,350,3900,2050,1850,1000,1000,1900
Yadiyur,Jayanagar,Pvt.,Identified,,,,,,Undeclared,0.13,35,189,100,89,0,0,189
Near Drive in Theater,Jayanagar,Pvt.,Identified,,,,,,Undeclared,0.32,107,538,277,261,486,0,52
"Opp.Flour Mill,Bannerghatta",Jayanagar,Pvt.,Identified,,,,,,Undeclared,1.10,40,221,110,111,180,0,41
Ayyappa Garden.Adugodi,Jayanagar,Pvt.,Identified,,,,,,Undeclared,0.25,16,90,47,43,40,38,12
T.B.Hospital Compound,Jayanagar,Pvt.,Identified,,,,,,Undeclared,1.35,134,560,280,280,420,48,92
"Sy.No.71,Begur Hobli",Jayanagar,Pvt.,Identified,,,,,,Undeclared,2.00,194,951,490,461,833,24,94
Opp.Siddapur Housing Board,Jayanagar,Pvt.,Identified,,,,,,Undeclared,0.25,44,220,109,111,19,21,180
Someswar New Quarters,Jayanagar,Pvt.,Identified,,,,,,Undeclared,3.00,121,645,319,326,292,8,345
Marenahalli Tank Bed,Jayanagar,Pvt.,Identified,,,,,,Undeclared,0.10,36,174,88,86,91,0,83
Venu Touring Talkies,Jayanagar,Pvt.,Identified,,,,,,Undeclared,1.00,315,1572,798,774,1145,15,412
Hosakerehalli,Jayanagar,Pvt.,Identified,,,,,,Undeclared,1.00,17,68,37,31,16,0,52
"Anjaneyaswamy Ist Cross, Siddapur",Jayanagar,BCC,Identified,,,,,,Undeclared,2.10,151,860,418,442,810,13,37
"Narayanapura 12th Cross,Willson Garden",Jayanagar,BCC,Identified,,,,,,Undeclared,2.10,189,1036,503,533,395,170,471
"Hunting Colony,Jayanagar Bairasandra",Jayanagar,BCC,Identified,,,,,,Undeclared,1.40,308,1886,953,933,823,0,1063
"Lakkasandra Sandappanagar,Sampangiramnagar",Jayanagar,BCC,Identified,,,,,,Undeclared,0.39,100,500,300,200,200,200,100
Sidhartha Slum,Jayanagar,BCC,Identified,,,,,,Undeclared,1.00,120,600,350,250,200,200,200
"Jayanagar Hunting Colony,BTM layout",Jayanagar,BDA,Identified,,,,,,Undeclared,5.00,676,3352,1748,1604,200,152,3000
Krishnamurthynagar Siddapur,Jayanagar,BDA,Identified,,,,,,Undeclared,2.00,139,805,407,398,46,16,743
Handijogi Colony,Jayanagar,BDA,Identified,,,,,,Undeclared,4.21,145,1200,670,530,800,300,100
Anjaneya Temple Ragigudda,Jayanagar,BDA,Identified,,,,,,Undeclared,3.01,1199,6271,3439,2832,3838,1614,819
"Jayanagar 1st Block,BTM Layout",Jayanagar,BDA,Identified,,,,,,Undeclared,3.00,301,1520,800,720,320,600,600
From South End to Kumarswamy layout,Jayanagar,BDA,Identified,,,,,,Undeclared,4.30,450,3300,1765,1535,1000,1000,1300
Gurumurthy Circle<Kumarswamy Layout,Jayanagar,BDA,Identified,,,,,,Undeclared,2.30,150,950,500,450,50,450,450
,,,,,,,,,,,,,,,,,
Indiranagar W.C.Road 3rd Phase,Rajajinagar,BDA/ Govt,KSA/CR-30/2000-01,11-09-2001,,,,,Declared,0.04,927,6352,3227,3125,2184,2121,2047
Bhovi Palya,Rajajinagar,BDA,KSA/CR/10/97-98,20-08-1997,,,,,Declared,1.20,161,1075,544,531,339,509,227
"Gorguntepalya,Nandini Layout",Rajajinagar,BDA,KSA/CR-8/97-98,05-07-2004,,,,,Declared,2.29,135,891,457,434,289,504,98
Gajanana Talkies II Phase,Rajajinagar,Govt.,KSA/CR-13/94-95,05-07-2004,,,,,Declared,0.05,75,800,500,300,750,0,50
Bheemshaktinagar,Rajajinagar,BDA,KSA/Cr-14/2004-05,12-01-2005,,,,,Declared,0.37,49,260,140,120,0,0,260
Goutham Colony,Rajajinagar,BDA,KSA /. CR/20/05-06,02-07-2007,,,,,Declared,0.33,22,105,55,50,60,25,20
Gurkondepalya ( opp : Munishwara) ,Rajajinagar,BDA,KSA/CR/4/2005-06,29-1-2007,,,,,Declared,0.08,41,200,100,100,75,50,75
Indiranagar,Rajajinagar,Pvt./ BdA,KSA/CR/25/91-92,08-04-2000,,,,,Declared,1.06,128,887,442,445,408,315,164
Agrahara Dasarhalli,Rajajinagar,Govt.,KSA/Cr/86/84-85,26-02-1985,,,,,Declared,2.20,210,2470,1367,1103,1774,84,612
Gajanana Talkies I Phase,Rajajinagar,Pvt.,HUD/40/mcs/93,18-03-2000,,,,,Declared,1.25,118,637,312,325,522,7,108
Ashokanagar,Rajajinagar,BCC,Identified,,,,,,Undeclared,0,115,1100,575,525,840,260,0
"Laxminarayanapur,J.C.Nagar",Rajajinagar,BCC,Identified,,,,,,Undeclared,0.20,22,231,120,111,100,90,41
Mariyappanapalya,Rajajinagar,BCC,Identified,,,,,,Undeclared,1.00,194,1309,619,690,588,233,488
"Behind Kirloskar Poundry ,NGEF",Rajajinagar,BDA,Identified,,,,,,Undeclared,1.00,120,577,302,275,168,164,245
Chamundinagar 5th Block,Rajajinagar,BDA,Identified,,,,,,Undeclared,5.30,347,2079,1070,1009,1260,126,693
"Mariyappanapalya,3rd Block,Rajajinagar",Rajajinagar,BDA,Identified,,,,,,Undeclared,5.35,454,3118,1492,1426,1459,168,1491
Harijan Seva sangh 5th Block,Rajajinagar,BDA,Identified,,,,,,Undeclared,1.00,64,463,231,232,359,63,41
"Sy.No.16, Shivanahalli,W.Chord Road",Rajajinagar,BDA,Identified,,,,,,Undeclared,0.20,29,203,103,100,52,42,109
"Sy.No.1:8,Gouthamnagar,Jarakbandekaval",Rajajinagar,BDA,Identified,,,,,,Undeclared,3.00,385,2656,1368,1288,1995,168,493
Krishnanadanagar,Rajajinagar,BDA,Identified,,,,,,Undeclared,4.00,202,1375,688,687,378,63,934
Vijayanandanagar,Rajajinagar,BDA,Identified,,,,,,Undeclared,20.00,1184,8085,4150,3935,1554,273,6258
"Bhasum Circle, 5th Block, Rajajinagar",Rajajinagar,BDA,Identified,,,,,,Undeclared,0.12,42,288,150,138,231,0,57
,,,,,,,,,,,,,,,,,
Seegehalli,Varthur,Govt.,KSA/CR/8/94-95,08-07-1994,,,,,Declared,10.20,350,1750,1050,700,460,490,800
Vijinapur,Varthur,Forest,KSA/Cr--6/2002-03,27-03-2003,,,,,Declared,15.00,1300,5422,3200,2222,0,0,5422
ISRO Quarters,Varthur,Defence,KSA/.CR-24/97-98,24-01-1998,,,,,Declared,2.02,194,1000,500,500,400,400,200
JyothiNagara Slum,Varthur,Pvt.,,,,,,,Declared,1.36,244,1040,509,531,827,12,201
"Nellurpuram Part-II, K.R.Puram",Varthur,Govt.,KSA/CR/16/2008-09,01-12-2008,,,,,Declared,1.24,39,240,140,100,,,240
"Ambedkarnagar, Challghatta",Varthur,Govt.,KSA/Cr/17/2008-09,17/10/2008,,,,,Declared,4.37,199,980,580,400,,,980
Sudamnagar II Stage,Varthur,HAL,KSA/CR-15/2009-10,23-03-2011,,,,,Declared,1.2,133,560,,,,,560
Nellurpuram II Stage,Varthur,Govt/ Bande,KSA/CR-16/2008-09,12-09-2009,,,,,Declared,1.24,39,240,,,,,240
Swathantrapura,Varthur,Rail,KSA/CR-18/2009-10,26-03-2011,,,,,Declared,0.18,40,158,,,,,158
Ejipur,Varthur,Govt,KSA/.CR-137/94-95,29-06-2004,,,,,Declared,1.22,148,740,400,340,250,250,240
"Ambedkarnagar,Rammurthynagar",Varthur,Govt.,xxx,1/1/85,,,,,Declared,7.20,305,1525,850,675,600,200,725
Binnamangal Hunting Colony,Varthur,Pvt,KSA/CR/12/91/92,05-06-1992,,,,,Declared,0.25,125,350,185,165,0,0,350
"Nagaiahanpalya,Baiyappanahalli",Varthur,Railway,KSA/CR/1/99-2000,12-07-1999,,,,,Declared,0.39,100,900,540,360,350,350,200
Isolation Hospital II Stage,Varthur,Pvt.,KSA/Cr/28/98-99,20-02-1998,,,,,Declared,2.35,170,724,400,324,0,0,724
Krishnamurthynagar,Varthur,Pvt.,KSA/CR/2/96-97,10/7/96,,,,,Declared,0.29,108,548,300,248,300,200,48
"Rajivgandhinagar,Devasandra",Varthur,Pvt.,KSA/CR/9/94-95,15-02-1996,,,,,Declared, 1-20,110,550,330,220,275,225,50
"Dr.Ambedkarnagar,Mahadevpur",Varthur,Govt.,KSA/Cr-43/90-91,28-09-1993,,,,,Declared,0.33,1000,400,200,200,200,100,100
Kamaraj NP Factory,Varthur,Govt.,,,,,,,Declared,1.27,81,426,203,223,295,0,131
Nellur Huts,Varthur,Govt.,KSA/CR/53/84-85,13-01-1986,,,,,Declared,4-35,436,2212,1111,1101,1947,166,99
Isolation Hospital,Varthur,Pvt.,KSA/Cr-43/87-88,16-05-2000,,,,,Declared,1.05,141,766,390,376,641,6,119
"Sanjagadhinagar,Byappanahallii",Varthur,Railway,KSA/CR/23/87-88,28-12-1988,,,,,Declared,1.07,105,525,225,300,250,125,150
"Krishnappapalya,NGEF",Varthur,Pvt.,KSA/CR/27/91-92,20-08-1997,,,,,Declared,0.33,100,500,240,260,225,175,100
"B.R.Ambedkarnagar,G.M.Palya",Varthur,Pvt.,KSA/CR/4/92-93,17-01-1996,,,,,Declared,0.17,59,303,158,145,260,20,23
Someswar,Varthur,Pvt.,HUD/101/MCS/86,03-02-1987,,,,,Declared,0.16,46,356,206,150,0,0,356
"Sy.No.44,Sanjaynagar,Devasandra",Varthur,Pvt./ Govt.,KSA/CR/9/94-95,2/15/96,,,,,Declared,2.20,171,1225,550,675,600,200,425
Gajendranagar,Varthur,Govt.,KSA/CR-84/84-85,10-03-1986,,,,,Declared,8.09,293,1556,775,781,1312,16,228
"Sy.No.85,Ramamurthynagar",Varthur,Govt.,HUD/117/MCS/86,08-10-1986,,,,,Declared,2.14,210,1050,400,650,500,437,113
Sudhamnagar,Varthur,Pvt.,HUD/258/mcs/80,26-02-1981,,,,,Declared,1.20,120,600,360,240,0,0,600
Jyothinagar,Varthur,Pvt.,Identified,,,,,,Undeclared,1-36,244,1220,490,730,519,500,201
"Sy.No.13,Sathyanagar",Varthur,Govt.,Identified,,,,,,Undeclared,6.00,111,552,285,267,420,7,125
"Sy.No.68,Thippasandra,HAL",Varthur,BCC,Identified,,,,,,Undeclared,0.25,137,698,398,300,0,0,698
"Amarjyothinagar,HAL",Varthur,BCC,Identified,,,,,,Undeclared,0.25,36,177,97,80,166,11,0
"Anandpura, HAL",Varthur,BCC,Identified,,,,,,Undeclared,4.00,468,1650,895,755,0,0,1650
"Sy.No.37, Kodihalli",Varthur,BCC,Identified,,,,,,Undeclared,1.10,53,265,159,106,69,86,110
"Sy.No.93, Kodihalli",Varthur,BCC,Identified,,,,,,Undeclared,0.25,10,51,24,27,51,0,0
"Baba Saheb Colony,Doopanahalli",Varthur,BDA,Identified,,,,,,Undeclared,2.10,218,1199,581,618,971,23,205
Domblur Hunting Colony,Varthur,BDA,Identified,,,,,,Undeclared,0.35,218,852,432,420,0,0,852
Anandapur HAL 3rd Phase,Varthur,BDA,Identified,,,,,,Undeclared,4.00,468,1650,895,755,0,0,1650
Baiyappanahalli A & B Block,Varthur,BDA,Identified,,,,,,Undeclared,15.19,1205,8435,4010,4425,2000,3000,3435
"Hanumanthanagar,HAL 3rd Phase",Varthur,BDA,Identified,,,,,,Undeclared,2.11,140,700,400,300,0,0,700
"Demposet,Baiyappanahalli",Varthur,Govt.,Identified,,,,,,Undeclared,3.02,400,2000,1400,600,1000,915,85
"Kottur, Vijinapur",Varthur,Govt.,Identified,,,,,,Undeclared,19.02,1400,8000,5000,3000,5000,2900,100
,,,,,,,,,,,,,,,,,
Slum Opp.Rudreswar Talkies,Uttarahalli,Govt./ Pvt,KSA/CR-108/84-85,10-12-1985,,,,,Declared,2.19,210,1320,665,655,488,373,459
Dalit Siddarthanagar,Uttarahalli,BDA,KSA/CR-12/97-98,10-12-1997,,,,,Declared,1.07,318,1898,995,903,895,415,588
Manjunath Colony BSK II Stage,Uttarahalli,BDA,KSA/CR-12/97-98,10-12-1997,,,,,Declared,6.20,832,5506,2900,2606,2949,1342,1215
"Neelagiri Thopu,Peenya",Uttarahalli,KSIDB,KSA/CR-4/2000-01,21-03-2001,,,,,Declared,0.06,65,330,180,150,0,0,330
"Sy.No.18/1 Sarakki,J.P.Nagar",Uttarahalli,BDA,KSA/CR-27/97-98,20-02-1998,,,,,Declared,0.10,47,228,128,100,0,0,228
Kasturamma Nagar,Uttarahalli,BDA,KSA/CR-22/2000-01,11-09-2000,,,,,Declared,0.13,110,434,234,200,200,150,84
"Lakshman Rao Nagar,Kormangal",Uttarahalli,BCC,KSA/Cr-7/2002-03,18.5.2002,,,,,Declared,2.10,3065,14958,7825,7133,6795,3000,5163
Peenya  Grams S.R.S. Slum,Uttarahalli,Pvt.,KSA/CR-48/2003-04,18-05-2004,,,,,Declared,0.06,60,306,156,150,100,100,106
"Dumsite, Byappanahalli",Uttarahalli,Rly,KSA/CR/5/99-2000,06-07-2004,,,,,Declared,3.02,400,2200,1150,1050,400,200,1600
Vasanthapura,Uttarahalli,Govt,KSA/CR-03/2001-02,,,,,,Declared,13.2,0,,,,,,
Chamundinagar Phase-II,Uttarahalli,BDA,KSA/CR-46/2011-12,19-10-2011,,,,,Declared,1.23,424,2000,1150,850,,,2000
Ginishastra (Goraguntepalya),Uttarahalli,Pvt.,KSA/CR-51/2011-12,14-12-2011,,,,,Declared,0.16,84,435,,,,,435
Chamundinagar,Uttarahalli,BDA,KSA/CR-17/2004-05,15-02-2005,,,,,Declared,0.35,84,258,150,108,0,,258
Mahakalamma Thota,Uttarahalli,Govt,KSA/CR-13/2004-05,03-02-2005,,,,,Declared,0.25,42,151,75,76,25,50,76
Shivanagara,Uttarahalli,Pvt.,KSA/CR/23/200405,6.4.2005,,,,,Declared,0.21,64,320,200,120,0,0,320
"Siddarthanagar, Peeny III Stage",Uttarahalli,KIADB/ KSSIDc,KSA/CR/3/2004-05,28-6-2008,,,,,Declared,0.21,68,380,200,180,240,50,90
Alemari Jananga Slum,Uttarahalli,Pvt.,KSA/CR/19/2008-09,23/3/2009,,,,,Declared,2.16,134,720,420,300,,,720
Akkipikki colony,Uttarahalli,Govt/ Mun,KSA/CR/11/08-09,19-11-2008,,,,,Declared,1.36,256,1285,785,500,0,0,1285
"Nayandanahalli, Vinayaka Badavane",Uttarahalli,ITI/Soc.,KSA/CR/19/05-06,29-4-2009,,,,,Declared,0.2,102,464,240,224,0,0,464
Rajgopalnagar,Uttarahalli,Govt.,ksa/Cr/7/92-93,20-08-1998,,,,,Declared,7.05,305,3300,1792,1508,1295,785,1220
"Hegganahalli,Peenya II Stage",Uttarahalli,Govt.,KSA/CR/6/98-99,22-10-1998,,,,,Declared,10.15,228,1190,639,551,489,40,661
"100 Feet Road,Ambedkarnagar",Uttarahalli,BDA,KSA/CR/12/97-98,10/12/97,,,,,Declared,1.35,212,1690,898,792,1207,185,298
"Ambedkarnagar, Nayendanahalli",Uttarahalli,Govt./ BDA,KSA/CR/7/97-98,31-08-2001,,,,,Declared,6.04,815,3790,1971,1819,3118,84,588
Kasturamma Nagar,Uttarahalli,BDA,KSA/CR/8/2004-05,31.3.2005,,,,,Declared,0.23,0,0,0,0,0,0,0
Ragigudda ,Uttarahalli,BDA/PVt,KSA/CR-41/2003-04,27/8/2005,,,,,Declared,6.19,1300,4500,2350,2150,0,0,4500
"Bhuvaneswari Nagar, Sy.No.64",Uttarahalli,Govt,KSA/CR/4/2004-05,18-03-2005,,,,,Declared,13.00,0,0,0,0,0,0,0
Peenya Plantation ,Uttarahalli,Defence,KSA/CR/33/2006-07,18-10-2006,,,,,Declared,13,1077,6500,3300,3200,2250,1500,2750
Pattagara palya Sy.N0.44/45(Rajeevgandhi,Uttarahalli,PVT.,KSA/CR/26/03-04,16-11-2003,,,,,Declared,0.37,98,500,275,225,,,500
"A.K.Colony,Kamakshipalya",Uttarahalli,Govt.,KSA/CR/109/85-86,11/3/86,,,,,Declared,3.08,60,434,215,219,332,102,0
"Sy.No.46,Kamalnagar",Uttarahalli,Govt.,HUD/26/MCS/80,12/21/81,,,,,Declared,26.03,1030,6207,3125,3082,3151,1220,1836
"Sy.No.46,Chandranagar",Uttarahalli,Govt.,KSA/CR109/85-86,11-03-1986,,,,,Declared,9.02,490,3305,1662,1643,1549,298,1458
Gongodanahalli,Uttarahalli,Govt.,HUD/81/MCS/81,21-01-1982,,,,,Declared,15.30,670,4343,2286,2057,726,492,3125
"Pragathipur,Sarabande",Uttarahalli,Govt.,HUD/153/MCS/86,01-01-1987,,,,,Declared,19.25,1190,7065,3815,3250,2427,1095,3543
Mahatma Gandhinagar(MG),Uttarahalli,Pvt.,xxx,1/1/90,,,,,Declared,2.00,365,1945,1022,923,1025,285,635
"Sy.No.30,31,Saneguruvanahalli",Uttarahalli,Govt.,KSA/CR/47/84-85,28-04-1986,,,,,Declared,18.22,718,5046,2826,2220,2494,1215,1337
Athmajyothinagar(pantherpalya),Uttarahalli,Pvt.,KSA/CR-5/98-99,26-05-2001,,,,,Declared,0.22,72,308,158,150,160,99,49
Itmadau(Maruthinagar),Uttarahalli,Govt.,KSA/CR-7/2000,26-03-2001,,,,,Declared,5.18,235,1280,680,600,512,384,384
Rajeswarinagar,Uttarahalli,Govt.,KSA/cr/2/94-95,20-01-1996,,,,,Declared,0.27,250,1723,915,808,902,459,362
"Karisandra, Sy.No.38,39,&41BSK ",Uttarahalli,Pvt.,KSA/CR-6/89-90,07-09-1991,,,,,Declared,3.07,296,1480,780,700,400,500,580
Veerabadranagar,Uttarahalli,KIADB,KSA/CR-2009-10,16-03-2011,,,,,Declared,1.23.5,256,1200,650,550,,,1200
"Priyadarshini,Bannerghatta",Uttarahalli,Govt.,HUD/140/MCS/86,15-10-1986,,,,,Declared,0.17,80,625,375,250,515,50,60
Ramagavi Colony,Uttarahalli,Pvt.,Identified,,,,,,Undeclared,1.00,94,589,380,209,346,98,145
Dr:Ambedkar Seva Sangha,Uttarahalli,Govt.,Identified,,,,,,Undeclared,0,105,435,229,206,211,64,160
Ambedkarnagar,Uttarahalli,Govt.,Identified,,,,,,Undeclared,2.15,527,3507,1866,1643,1725,979,805
Jelageramma Temple,Uttarahalli,Pvt.,Identified,,,,,,Undeclared,3.00,147,897,502,395,492,190,215
"Gulbarga Colony,Rupena Agrahara",Uttarahalli,Govt,Identified,,,,,,Undeclared,4.00,1000,5000,2500,2500,1500,1000,2500
"Sy.No.24, BSK II Stage",Uttarahalli,BCC,Identified,,,,,,Undeclared,1.06,112,695,385,310,316,126,253
"Sy.No.23, 8th Main Road, BSK II Stage",Uttarahalli,BCC,Identified,,,,,,Undeclared,0,164,1018,533,485,382,224,412
Someswar,Uttarahalli,BCC,Identified,,,,,,Undeclared,3.02,159,954,519,435,688,35,231
Swathantrapalya,Uttarahalli,BCC,Identified,,,,,,Undeclared,6.15,1869,11782,6203,5578,5992,2598,3192
Kormangal 7th & 8th Block,Uttarahalli,BDA,Identified,,,,,,Undeclared,1.30,297,1872,992,880,972,448,452
"Kormangal 1 Block ,Doddabayalu",Uttarahalli,BDA,Identified,,,,,,Undeclared,0,282,1822,946,856,635,580,587
"Arundathinagar, Chandra Layout",Uttarahalli,BDA,Identified,,,,,,Undeclared,16.00,1582,10915,5763,5152,5121,3089,2705
"Sanjaygandhinagar, W.Chord Road 3rd Phase",Uttarahalli,BDA,Identified,,,,,,Undeclared,3.20,249,1698,897,810,704,532,462
"Jayachamrajendranagar, W.C.Road",Uttarahalli,BDA,Identified,,,,,,Undeclared,4.10,451,2925,1544,1381,1098,987,840
"Bhovi Colony,W.C.Road,3rd Phase,2nd Block",Uttarahalli,BDA,Identified,,,,,,Undeclared,2.18,138,892,486,406,383,297,212
"Bhovi colony,314,2nd Block III Phase",Uttarahalli,BDA,Identified,,,,,,Undeclared,3.00,371,2105,1098,1007,986,847,272
"Bapujinagar,Maruthinagar",Uttarahalli,BDA,Identified,,,,,,Undeclared,8.16,624,3700,1958,1742,1165,1024,1511
Rajendranagar,Uttarahalli,BDA,Identified,,,,,,Undeclared,0.20,22,138,78,60,59,42,37
"Sy.No.32, Yediyur,Nagasandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,1.15,196,1195,624,571,255,215,725
"Sy.No.7,Karisandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,4.10,728,4498,2325,2173,1919,1054,1525
"Sy.No.23,Karisandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,2.25,258,1708,902,803,411,536,758
"Sy.No.24,Karisandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,2.00,201,1205,635,570,313,300,548
"Sy.No.29, Yadiyur, Nagasandra",Uttarahalli,BDA,Identified,,,,,,Undeclared,0.30,65,392,215,177,141,109,142
